Aircraft,BEW,Arm,Moment,Shaded,Real Moment,Deviation
38CF,1715,96.85,166083.23,N,166097.75,14.5199999999895
4189U,1719,96.54,165960.43,N,165952.26,8.1699999999837
4139B,1720,96.57,166060.58,N,166100.4,39.820000000007
4191M,1722,96.30,165840.79,N,165828.6,12.1900000000023
386MA,1732,96.88,167793.03,N,167796.16,3.13000000000466
4106G,1736,96.69,167015.91,N,167853.84,837.929999999993
727MZ,1737,96.85,168224.88,N,168228.45,3.56999999997788
419JS,1749,97.06,169720.00,N,169757.94,37.9400000000023
537MA,1749,95.99,167831.25,N,167886.51,55.2599999999802
415KG,1754,97.11,170288.21,N,170330.94,42.7300000000105
386JP,1756,96.47,169431.10,N,169401.32,29.7799999999988
372SE,1721,96.96,166870.01,Y,166868.16,1.85000000000582
4117H,1740,96.85,168485.30,Y,168519,33.7000000000116
4174B,1747,96.85,169181.56,Y,169196.95,15.3899999999849
53SL,1753,96.45,169047.92,Y,169076.85,28.929999999993
4119S,1753,96.64,169385.21,Y,169409.92,24.710000000021
997CA,1771,96.62,171150.26,Y,171114.02,36.2399999999907
313AF,1781,97.78,174146.18,Y,174146.18,0
965DS,1806,97.75,176536.50,Y,176536.5,0
326AF,1807,98.22,177525.79,Y,177483.54,42.25
967DS,1808,97.87,176948.96,Y,176948.96,0.0000000000291038304567337
