Code,Weight
ABB,190
AIC,150
ARM,175
BAS,170
BEC,150
BET,250
BLE,145
BOU,170
BRE,165
BRO,220
BRT,215
CHE,140
CHP,190
CLE,160
CMN,180
COF,210
COR,150
CRL,135
CRW,140
DEH,135
DES,180
DEN,145
DHA,130
DOU,150
DRI,140
DUR,230
EDG,170
EDW,215
ELL,200
ERE,220
EVE,260
FER,215
FGL,160
FIC,175
FKE,118
FLI,170
GDN,260
GIB,150
GOH,170
GOI,225
HAT,190
HKE,215
HOW,250
HTN,230
HUB,170
HUR,250
JNS,180
JSN,145
KOB,180
KOZ,185
KRA,265
LIJ,160
LIN,190
MAL,211
MAV,155
MAX,210
MEL,120
MOY,115
MRZ,190
NIL,200
ORS,180
OSU,190
OWN,200
PAT,177
POL,165
PTL,105
PTT,160
RAE,225
RAN,170
RAK,180
REG,205
RIC,250
ROC,230
RUZ,210
SAD,185
SHA,122
SHC,200
SIT,200
SLT,200
SLT,190
SKN,185
SMD,200
SNA,185
STA,200
SWN,143
TNT,210
TOB,220
TRO,220
WIT,200
WOD,160
WOO,175
YAU,130
BAT,190
SVN,280
MLA,250
WAI,150
TSI,155
HWD,180
CRR,185
ORV,135
